Instance name,Objective,Recalculated Objective,Solve time,Revisit count,Used Gap
v100,302.718,302.718,5.497,1,0
v4,226.023,226.023,34.904,2,0
v60,275.988,275.988,26.44,0,1
v70,276.614,276.614,21.149,1,1
v44,264.911,264.911,2.655,0,1
v8,292.618,292.618,16.805,1,0
v20,251.471,251.471,17.347,0,1
v16,287.005,287.005,4.532,0,1
v78,245.457,245.457,19.41,0,0
v17,292.789,292.789,24.002,0,1
v6,220.293,220.293,3.643,0,1
v57,254.264,254.264,26.793,0,1
v31,222.2,222.2,41.731,0,1
v41,240.072,240.072,4.135,0,1
v10,289.566,289.566,23.512,0,1
v64,233.57,233.57,3.837,0,1
v29,220.18,220.18,2.489,0,1
v40,236.098,236.098,6.092,1,0
v22,221.384,221.384,9.099,2,1
v68,259.494,259.494,22.16,2,1
v76,241.737,241.737,4.267,0,0
v75,295.891,295.891,16.46,0,1
v48,274.603,274.603,21.858,0,0
v5,281.635,281.635,3.867,0,1
v88,274.124,274.124,21.758,0,1
v98,251.688,251.688,17.088,0,1
v7,270.204,270.204,5.802,0,1
v74,275.702,275.702,4.426,0,1
v28,270.173,270.173,13.338,0,0
v63,278.988,278.988,4.364,0,1
v71,269.348,269.348,14.361,0,1
v56,276.919,276.919,36.966,0,1
v49,234.636,234.636,3.394,0,1
v13,271.823,271.823,10.454,2,1
v62,282.759,282.759,14.925,0,1
v66,284.873,284.873,4.245,0,1
v93,234.68,234.68,2.062,0,0
v91,278.067,278.067,17.184,0,0
v96,289.29,289.29,24.186,0,0
v80,229.749,229.749,6.147,0,1
v14,220.936,220.936,3.383,0,1
v51,290.621,290.621,21.491,0,0
v34,248.697,248.697,5.929,1,1
v82,266.967,266.967,2.672,0,1
v24,280.105,280.105,6.117,0,1
v36,272.915,272.915,13.896,0,1
v43,290.89,290.89,22.857,0,1
v58,227.343,227.343,5.305,0,1
v12,290.674,290.674,11.017,0,1
v95,244.675,244.675,4.72,0,1
v79,279.16,279.16,16.378,0,1
v33,257.498,257.498,24.123,0,0
v61,304.793,304.793,25.188,1,1
v32,217.151,217.151,18.31,0,0
v23,254.704,254.704,22.768,1,1
v69,278.387,278.387,5.417,0,1
v21,188.879,188.879,5.366,0,1
v85,268.519,268.519,26.816,0,1
v52,240.913,240.913,44.303,0,1
v54,211.397,211.397,3.145,2,1
v65,262.465,262.465,2.856,0,0
v39,224.757,224.757,24.904,2,1
v46,292.494,292.494,14.439,0,1
v15,245.081,245.081,4.614,2,1
v30,251.631,251.631,19.189,1,1
v67,282.933,282.933,13.497,0,1
v97,244.395,244.395,19.2,0,1
v37,257.131,257.131,20.717,0,1
v27,252.099,252.099,22.882,0,1
v42,237.939,237.939,3.629,0,1
v3,261.941,261.941,29.243,0,1
v35,222.094,222.094,18.747,0,0
v9,257.724,257.724,16.379,1,1
v84,283.352,283.352,4.778,0,1
v83,276.922,276.922,14.585,0,0
v19,263.125,263.125,4.039,0,1
v26,272.297,238.022,15.469,0,1
v55,284.15,284.15,13.849,0,1
v73,294.259,294.259,3.805,0,1
v86,275.972,275.972,15.411,0,0
v94,245.238,245.238,3.179,0,1
v81,236.013,236.013,3.423,0,1
v11,235.019,235.019,21.371,1,1
v92,249.195,249.195,20.774,0,1
v47,234.083,234.083,35.871,0,0
v89,282.454,282.454,19.047,0,1
v2,256,256,26.069,0,1
v99,249.648,249.648,2.148,0,1
v90,244.947,244.947,5.028,0,1
v50,269.707,269.707,25.343,0,0
v38,290.978,290.978,17.77,0,0
v25,253.281,253.281,34.896,0,0
v77,261.566,261.566,37.888,0,1
v53,229.493,229.493,45.802,2,0
v72,241.457,241.457,19.545,0,1
v1,268.511,268.511,4.556,2,1
v59,284.213,284.213,31.389,0,1
v87,286.552,286.552,4.009,0,1
v45,250.618,250.618,22.144,1,1
v18,291.707,291.707,3.255,0,1
