Instance name,Cost,Recalculated cost,Solve time,Revisit count
v4,76.3423,76.3423,151.496,0
v44,70.8379,70.8379,178.68,0
v8,55.7611,55.7612,137.035,0
v20,65.6109,65.6109,2.891,0
v16,71.175,71.175,3.253,0
v17,60.7249,60.7249,4.018,0
v6,65.8001,65.8001,6.523,0
v31,76.7386,76.7386,6.357,0
v41,58.5164,58.5164,12.266,0
v10,73.702,73.702,3.103,0
v29,66.2025,66.2025,2.752,0
v40,72.9952,72.9952,38.447,0
v22,52.4896,52.4896,127.141,0
v48,75.9744,75.9744,3.952,0
v5,48.7528,48.7528,3.61,0
v7,64.8904,64.8904,82.824,0
v28,66.004,66.004,200.015,3
v49,67.1602,67.1602,1.596,0
v13,61.5624,61.5624,2.097,1
v14,65.2833,65.2833,4.707,0
v34,74.7598,74.7598,200.024,0
v24,60.0938,60.0938,23.163,0
v36,61.1424,61.1424,5.101,0
v43,65.8445,65.8445,3.121,1
v12,73.2459,73.2459,85.531,0
v33,70.6122,70.6122,125.733,0
v32,52.9804,52.9804,73.351,0
v23,52.7728,52.7728,4.006,0
v21,58.4962,58.4962,54.875,0
v39,59.4309,59.4309,16.361,0
v46,68.172,68.172,23.017,0
v15,54.8947,54.8947,42.572,0
v30,66.7896,66.7896,7.363,0
v37,62.989,62.989,24.316,0
v27,66.6236,66.6236,18.921,0
v42,62.6682,62.6682,2.049,0
v3,63.0509,63.0509,17.578,0
v35,62.4434,62.4434,5.669,0
v9,62.0782,62.0782,6.179,0
v19,58.5463,58.5463,44.786,1
v26,73.1667,73.1667,74.572,0
v11,57.7842,57.7842,51.644,1
v47,57.2154,57.2155,106.762,0
v2,64.3707,64.3707,3.629,0
v50,64.8186,64.8186,1.565,0
v38,54.599,54.599,18.008,0
v25,60.8515,60.8515,27.238,0
v1,68.9294,68.9294,2.498,0
v45,52.418,52.418,99.241,0
v18,64.7243,64.7243,2.331,0
