Instance name,No revisit cost,Revisit cost,Improvement(%),Old model solve time (giây),Our solve time (giây),Lệch (mình chậm hơn bao nhiêu giây),
v100,46.7407,46.7407,0,3.995,108.729,104.734,
v4,53.4424,53.4424,0,2.131,69.337,67.206,
v60,48.0062,48.0062,0,2.634,2.723,0.089,
v70,51.7037,51.7037,0,3.911,36.33,32.419,
v44,43.8537,43.8537,0,2.359,13.843,11.484,
v8,40.4591,40.4591,0,2.079,82.457,80.378,
v20,56.3454,56.3454,0,4.404,377.871,373.467,
v16,51.3438,51.3438,0,2.796,22.476,19.68,
v78,37.7028,37.7028,0,3.768,39.5771,35.8091,
v17,61.7606,61.7606,0,2.652,2.969,0.317,
v6,38.3911,38.3911,0,2.64,771.026,768.386,
v57,54.7095,54.7095,0,3.52,417.358,413.838,
v31,57.8369,57.8369,0,7.84,2485.171,2477.331,
v41,61.4662,61.4662,0,0.632,3.408,2.776,
v10,44.8632,42.7439,4.72391626098897,5.244,4.9771,-0.2669,mình nhanh hơn
v64,41.8573,41.8573,0,3.011,58.031,55.02,
v29,58.1443,58.1443,0,4.63,486.8091,482.1791,
v40,52.2296,52.2296,0,5.078,90.391,85.313,
v22,46.6348,46.6348,0,4.113,90.68,86.567,
v68,48.6441,48.6441,0,3.506,34.554,31.048,
v76,50.8796,50.8796,0,7.579,692.652,685.073,
v75,42.5244,42.5244,0,2.142,171.2891,169.1471,
v48,58.6502,58.6502,0,4.522,4.342,-0.180000000000001,mình nhanh hơn
v5,43.9697,43.9697,0,4.315,37.163,32.848,
v88,48.0615,48.0615,0,3.064,108.624,105.56,
v98,43.2642,43.2642,0,6.224,29.39,23.166,
v7,37.9466,37.9466,0,1.631,12.387,10.756,
v74,48.6801,48.6801,0,3.1,64.568,61.468,
v28,53.4623,53.4623,0,1.014,0.515,-0.499,mình nhanh hơn
v63,40.8933,40.8933,0,5.193,119.526,114.333,
v71,42.8392,42.8392,0,2.997,5.275,2.278,
v56,62.5664,62.5664,0,1.831,1.52,-0.311,mình nhanh hơn
v49,50.4796,50.4796,0,4.718,237.895,233.177,
v13,42.6295,42.6295,0,0.5,1.018,0.518,
